Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00018141,3.9183E-05,0.00029607,0,0,0,0.69223,0.00073815,-6.5961E-07,-9.0799E-09,0.0010335,-1.3086E-07,0.0011626,0,0,0,0,0,0,package://description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/base_link.STL,,body-1,body坐标,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lf_hip_link,-0.0019983,-0.0011206,-0.00012665,0,0,0,0.12065,4.4258E-05,-7.5679E-08,3.6198E-07,7.6774E-05,9.0227E-09,4.3197E-05,0,0,0,0,0,0,package://description/meshes/lf_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/lf_hip_link.STL,,abad-1,lf_hip_ax,,lf_hip_joint,revolute,0.18082,0.045002,-0.00025,0,0,0,base_link,1,0,0,12,30.9,-0.68,0.68,,,,,,,,
lf_upper_leg_link,0.00020023,-0.018818,-0.018458,0,0,0,0.20863,0.00011971,-1.8179E-08,-4.4273E-07,0.00018631,2.143E-06,8.7924E-05,0,0,0,0,0,0,package://description/meshes/lf_upper_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/lf_upper_leg_link.STL,,hip-1,lf_upper_ax,Axis_lf_upper_leg_joint,lf_upper_leg_joint,revolute,0,0.068899,0,0,0,0,lf_hip_link,0,1,0,12,30.997,-1.3264,2.7925,,,,,,,,
lf_lower_leg_link,0.00068627,3.4718E-05,-0.078428,0,0,0,0.047074,3.0882E-05,-3.6853E-11,2.2026E-07,3.2931E-05,-4.6457E-10,5.6472E-06,0,0,0,0,0,0,package://description/meshes/lf_lower_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/lf_lower_leg_link.STL,,knee-1,lf_lower_ax,Axis_lf_lower_leg_joint,lf_lower_leg_joint,revolute,0.00025731,0,-0.153,0,0,0,lf_upper_leg_link,0,1,0,12,30.997,-2.5307,0,,,,,,,,
lh_hip_link,0.0019984,-0.0011159,0.00012665,0,0,0,0.12065,4.4258E-05,7.4177E-08,3.6198E-07,7.6774E-05,-9.006E-09,4.3197E-05,0,0,0,0,0,0,package://description/meshes/lh_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/lh_hip_link.STL,,abad-4,lh_hip_ax,,lh_hip_joint,revolute,-0.18082,0.044993,-0.00025,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
lh_upper_leg_link,0.00020002,-0.018818,-0.018458,0,0,0,0.20863,0.00011971,-1.8156E-08,-4.4308E-07,0.00018631,2.143E-06,8.7924E-05,0,0,0,0,0,0,package://description/meshes/lh_upper_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/lh_upper_leg_link.STL,,hip-2,lh_upper_ax,Axis_lh_upper_leg_joint,lh_upper_leg_joint,revolute,0,0.068904,0,0,0,0,lh_hip_link,0,1,0,12,30.997,-0.9773,3.1415,,,,,,,,
lh_lower_leg_link,0.00068627,3.4718E-05,-0.078428,0,0,0,0.047074,3.0882E-05,-3.6859E-11,2.2026E-07,3.2931E-05,-4.6457E-10,5.6472E-06,0,0,0,0,0,0,package://description/meshes/lh_lower_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/lh_lower_leg_link.STL,,knee-4,lh_lower_ax,Axis_lh_lower_leg_joint,lh_lower_leg_joint,revolute,0.00025564,0,-0.153,0,0,0,lh_upper_leg_link,0,1,0,12,30.997,-2.5307,0,,,,,,,,
rf_hip_link,-0.0019984,0.0011181,0.00012665,0,0,0,0.12065,4.4258E-05,7.4177E-08,-3.6198E-07,7.6774E-05,9.006E-09,4.3197E-05,0,0,0,0,0,0,package://description/meshes/rf_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/rf_hip_link.STL,,abad-2,rf_hip_ax,,rf_hip_joint,revolute,0.18082,-0.044998,-0.00025,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
rf_upper_leg_link,-0.00020002,0.018818,-0.018458,0,0,0,0.20863,0.00011971,-1.8156E-08,4.4308E-07,0.00018631,-2.143E-06,8.7924E-05,0,0,0,0,0,0,package://description/meshes/rf_upper_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/rf_upper_leg_link.STL,,hip-3,rf_upper_ax,Axis_rf_upper_leg_joint,rf_upper_leg_joint,revolute,0,-0.068901,0,0,0,0,rf_hip_link,0,1,0,12,30.997,-1.3264,2.7925,,,,,,,,
rf_lower_leg_link,0.00017331,3.4706E-05,-0.078428,0,0,0,0.047074,3.0882E-05,-3.6858E-11,2.2026E-07,3.2931E-05,-4.6457E-10,5.6472E-06,0,0,0,0,0,0,package://description/meshes/rf_lower_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/rf_lower_leg_link.STL,,knee-2,rf_lower_ax,Axis_rf_lower_leg_joint,rf_lower_leg_joint,revolute,0.00025731,0,-0.153,0,0,0,rf_upper_leg_link,0,1,0,2,30.997,-2.5307,0,,,,,,,,
rh_hip_link,0.0019983,0.0011229,-0.00012665,0,0,0,0.12065,4.4258E-05,-7.5679E-08,-3.6198E-07,7.6774E-05,-9.0227E-09,4.3197E-05,0,0,0,0,0,0,package://description/meshes/rh_hip_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/rh_hip_link.STL,,abad-3,rh_hip_ax,,rh_hip_joint,revolute,-0.18082,-0.045007,-0.00025,0,0,0,base_link,0,0,0,0,0,0,0,,,,,,,,
rh_upper_leg_link,-0.00020002,0.018818,-0.018458,0,0,0,0.20863,0.00011971,-1.8156E-08,4.4308E-07,0.00018631,-2.143E-06,8.7924E-05,0,0,0,0,0,0,package://description/meshes/rh_upper_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/rh_upper_leg_link.STL,,hip-4,rh_upper_ax,Axis_rh_upper_leg_joint,rh_upper_leg_joint,revolute,0,-0.068897,0,0,0,0,rh_hip_link,0,1,0,12,30.997,-0.9773,3.1415,,,,,,,,
rh_lower_leg_link,0.00017499,3.4706E-05,-0.078428,0,0,0,0.047074,3.0882E-05,-3.6854E-11,2.2026E-07,3.2931E-05,-4.6457E-10,5.6472E-06,0,0,0,0,0,0,package://description/meshes/rh_lower_leg_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://description/meshes/rh_lower_leg_link.STL,,knee-3,rh_lower_ax,Axis_rh_lower_leg_joint,rh_lower_leg_joint,revolute,0.00025564,0,-0.153,0,0,0,rh_upper_leg_link,0,1,0,12,30.997,-2.5307,0,,,,,,,,
